"Step","yolo_11_m_one_loss_fold0 - metrics/mauc(B)","yolo_11_m_one_loss_fold0 - metrics/mauc(B)__MIN","yolo_11_m_one_loss_fold0 - metrics/mauc(B)__MAX"
"1","0.70242","0.70242","0.70242"
"2","0.71441","0.71441","0.71441"
"3","0.72876","0.72876","0.72876"
"4","0.72056","0.72056","0.72056"
"5","0.85297","0.85297","0.85297"
"6","0.79769","0.79769","0.79769"
"7","0.85449","0.85449","0.85449"
"8","0.868","0.868","0.868"
"9","0.84332","0.84332","0.84332"
"10","0.85361","0.85361","0.85361"
"11","0.84087","0.84087","0.84087"
"12","0.84066","0.84066","0.84066"
"13","0.89398","0.89398","0.89398"
"14","0.88684","0.88684","0.88684"
"15","0.87479","0.87479","0.87479"
"16","0.87867","0.87867","0.87867"
"17","0.89751","0.89751","0.89751"
"18","0.88036","0.88036","0.88036"
"19","0.8985","0.8985","0.8985"
"20","0.88351","0.88351","0.88351"
"21","0.90917","0.90917","0.90917"
"22","0.8985","0.8985","0.8985"
"23","0.90768","0.90768","0.90768"
"24","0.90528","0.90528","0.90528"
"25","0.90609","0.90609","0.90609"
"26","0.90095","0.90095","0.90095"
"27","0.89393","0.89393","0.89393"
"28","0.90111","0.90111","0.90111"
"29","0.91124","0.91124","0.91124"
"30","0.91568","0.91568","0.91568"
"31","0.92408","0.92408","0.92408"
"32","0.91664","0.91664","0.91664"
"33","0.91294","0.91294","0.91294"
"34","0.91276","0.91276","0.91276"
"35","0.9191","0.9191","0.9191"
"36","0.91276","0.91276","0.91276"
"37","0.91202","0.91202","0.91202"
"38","0.90757","0.90757","0.90757"
"39","0.91931","0.91931","0.91931"
"40","0.91283","0.91283","0.91283"
"41","0.91741","0.91741","0.91741"
"42","0.92089","0.92089","0.92089"
"43","0.92374","0.92374","0.92374"
"44","0.92356","0.92356","0.92356"
"45","0.92488","0.92488","0.92488"
"46","0.91861","0.91861","0.91861"
"47","0.91773","0.91773","0.91773"
"48","0.92096","0.92096","0.92096"
"49","0.92014","0.92014","0.92014"
"50","0.92073","0.92073","0.92073"
"51","0.91949","0.91949","0.91949"
"52","0.93574","0.93574","0.93574"
"53","0.93064","0.93064","0.93064"
"54","0.92103","0.92103","0.92103"
"55","0.93437","0.93437","0.93437"
"56","0.92777","0.92777","0.92777"
"57","0.91949","0.91949","0.91949"
"58","0.91886","0.91886","0.91886"
"59","0.91497","0.91497","0.91497"
"60","0.91862","0.91862","0.91862"
"61","0.91431","0.91431","0.91431"
"62","0.90806","0.90806","0.90806"
"63","0.91222","0.91222","0.91222"
"64","0.91165","0.91165","0.91165"
"65","0.9106","0.9106","0.9106"
"66","0.91024","0.91024","0.91024"
"67","0.90631","0.90631","0.90631"
"68","0.91199","0.91199","0.91199"
"69","0.90912","0.90912","0.90912"
"70","0.91093","0.91093","0.91093"
"71","0.90999","0.90999","0.90999"
"72","0.9116","0.9116","0.9116"
"73","0.91309","0.91309","0.91309"
"74","0.91502","0.91502","0.91502"
"75","0.90493","0.90493","0.90493"
"76","0.90196","0.90196","0.90196"
"77","0.89326","0.89326","0.89326"
"78","0.89612","0.89612","0.89612"
"79","0.90881","0.90881","0.90881"
"80","0.89955","0.89955","0.89955"
"81","0.89964","0.89964","0.89964"
"82","0.90991","0.90991","0.90991"
"83","0.90739","0.90739","0.90739"
"84","0.89929","0.89929","0.89929"
"85","0.89882","0.89882","0.89882"
"86","0.90136","0.90136","0.90136"
"87","0.90346","0.90346","0.90346"
"88","0.89963","0.89963","0.89963"
"89","0.89562","0.89562","0.89562"
"90","0.90011","0.90011","0.90011"
"91","0.90294","0.90294","0.90294"
"92","0.90107","0.90107","0.90107"
"93","0.90078","0.90078","0.90078"
"94","0.90233","0.90233","0.90233"
"95","0.90345","0.90345","0.90345"
"96","0.899","0.899","0.899"
"97","0.90301","0.90301","0.90301"
"98","0.90351","0.90351","0.90351"
"99","0.89405","0.89405","0.89405"
"100","0.915578734690308","0.915578734690308","0.915578734690308"