"Step","yolo_11_m_one_loss_fold0 - metrics/mAP50(B)","yolo_11_m_one_loss_fold0 - metrics/mAP50(B)__MIN","yolo_11_m_one_loss_fold0 - metrics/mAP50(B)__MAX"
"1","0.04126","0.04126","0.04126"
"2","0.03625","0.03625","0.03625"
"3","0.05431","0.05431","0.05431"
"4","0.05829","0.05829","0.05829"
"5","0.08921","0.08921","0.08921"
"6","0.08741","0.08741","0.08741"
"7","0.11282","0.11282","0.11282"
"8","0.1182","0.1182","0.1182"
"9","0.14829","0.14829","0.14829"
"10","0.15604","0.15604","0.15604"
"11","0.1463","0.1463","0.1463"
"12","0.16867","0.16867","0.16867"
"13","0.19781","0.19781","0.19781"
"14","0.20079","0.20079","0.20079"
"15","0.21158","0.21158","0.21158"
"16","0.22775","0.22775","0.22775"
"17","0.23129","0.23129","0.23129"
"18","0.23441","0.23441","0.23441"
"19","0.25266","0.25266","0.25266"
"20","0.28457","0.28457","0.28457"
"21","0.28021","0.28021","0.28021"
"22","0.28673","0.28673","0.28673"
"23","0.27386","0.27386","0.27386"
"24","0.29981","0.29981","0.29981"
"25","0.30152","0.30152","0.30152"
"26","0.31505","0.31505","0.31505"
"27","0.31283","0.31283","0.31283"
"28","0.32015","0.32015","0.32015"
"29","0.33098","0.33098","0.33098"
"30","0.31469","0.31469","0.31469"
"31","0.34381","0.34381","0.34381"
"32","0.36611","0.36611","0.36611"
"33","0.36661","0.36661","0.36661"
"34","0.35874","0.35874","0.35874"
"35","0.37156","0.37156","0.37156"
"36","0.37189","0.37189","0.37189"
"37","0.3775","0.3775","0.3775"
"38","0.3849","0.3849","0.3849"
"39","0.37351","0.37351","0.37351"
"40","0.37337","0.37337","0.37337"
"41","0.37443","0.37443","0.37443"
"42","0.37014","0.37014","0.37014"
"43","0.37686","0.37686","0.37686"
"44","0.38035","0.38035","0.38035"
"45","0.37814","0.37814","0.37814"
"46","0.37705","0.37705","0.37705"
"47","0.38583","0.38583","0.38583"
"48","0.38881","0.38881","0.38881"
"49","0.38474","0.38474","0.38474"
"50","0.38355","0.38355","0.38355"
"51","0.38637","0.38637","0.38637"
"52","0.38942","0.38942","0.38942"
"53","0.38636","0.38636","0.38636"
"54","0.39055","0.39055","0.39055"
"55","0.39337","0.39337","0.39337"
"56","0.39155","0.39155","0.39155"
"57","0.39295","0.39295","0.39295"
"58","0.3931","0.3931","0.3931"
"59","0.39505","0.39505","0.39505"
"60","0.39476","0.39476","0.39476"
"61","0.39646","0.39646","0.39646"
"62","0.39986","0.39986","0.39986"
"63","0.4008","0.4008","0.4008"
"64","0.40295","0.40295","0.40295"
"65","0.40136","0.40136","0.40136"
"66","0.39978","0.39978","0.39978"
"67","0.39908","0.39908","0.39908"
"68","0.39904","0.39904","0.39904"
"69","0.398","0.398","0.398"
"70","0.3982","0.3982","0.3982"
"71","0.39864","0.39864","0.39864"
"72","0.39879","0.39879","0.39879"
"73","0.40021","0.40021","0.40021"
"74","0.40123","0.40123","0.40123"
"75","0.39956","0.39956","0.39956"
"76","0.39956","0.39956","0.39956"
"77","0.39779","0.39779","0.39779"
"78","0.3984","0.3984","0.3984"
"79","0.39767","0.39767","0.39767"
"80","0.39756","0.39756","0.39756"
"81","0.39603","0.39603","0.39603"
"82","0.39773","0.39773","0.39773"
"83","0.39804","0.39804","0.39804"
"84","0.39879","0.39879","0.39879"
"85","0.4002","0.4002","0.4002"
"86","0.40008","0.40008","0.40008"
"87","0.39935","0.39935","0.39935"
"88","0.39912","0.39912","0.39912"
"89","0.39885","0.39885","0.39885"
"90","0.40008","0.40008","0.40008"
"91","0.40034","0.40034","0.40034"
"92","0.40087","0.40087","0.40087"
"93","0.40018","0.40018","0.40018"
"94","0.40069","0.40069","0.40069"
"95","0.4007","0.4007","0.4007"
"96","0.40111","0.40111","0.40111"
"97","0.40184","0.40184","0.40184"
"98","0.40129","0.40129","0.40129"
"99","0.40107","0.40107","0.40107"
"100","0.40090649193632816","0.40090649193632816","0.40090649193632816"